source_row,stage,restart,start_kind,success,objective,loglik,acf_mse_csv,acf_mse_recomputed,ar_fast_hl_h,ar_mid_hl_h,ar_slow_hl_h,ar_daily_hl_h,ar_daily_period_h,ma_real_1_hl_h,ma_real_2_hl_h,ma_complex_hl_h,ma_complex_period_h,ma_complex_omega
74,stage1,75,semi_global,True,-8.820805714972089,78690.46905022147,0.0024697455002502,0.002469745500250226,1.070566073547044,1.0762656667312462,38.60748649157379,125.13977796539668,24.0,0.30000000000000004,6.111107691623558,52.99728099353635,24.0757347945866,0.2609758481220832
27,stage1,28,semi_global,True,-8.820805760282871,78690.46964617155,0.0024742178696172,0.002474217869613203,1.0738408914978768,1.0738634460724747,38.593584135382784,125.13977796539668,24.0,0.30000000000000004,6.1218761074704595,53.13618626971214,24.073214200189515,0.2610031736904548
87,polish,8,semi_global,True,-8.82080597887826,78690.4725212474,0.0024866775054963,0.0024866775054963397,1.072263875952646,1.0740255495348754,38.460084018994145,125.13977796539668,24.0,0.30000000000000004,6.10331368622908,53.03717176728918,24.074529122444066,0.2609889180063727
17,stage1,18,local,True,-8.820805815635241,78690.4703741936,0.0024866846129218,0.002486684612921865,1.0715249658234542,1.0757470041903034,38.48720546963022,125.13977796539668,24.0,0.30000000000000004,6.117925082878294,53.043602959197905,24.073426119691323,0.2610008760672472
84,polish,5,semi_global,True,-8.820805994218203,78690.47272300601,0.002486758608418,0.0024867586084177983,1.0731576103017924,1.073692032054079,38.459093638890266,125.13977796539668,24.0,0.30000000000000004,6.10438069452473,52.998656769729,24.07478198110753,0.260986176826451
43,stage1,44,semi_global,True,-8.82080582451275,78690.47049095503,0.0024867738261729,0.0024867738261731276,1.0722622390543932,1.0740244378920225,38.460112878112625,125.13977796539668,24.0,0.30000000000000004,6.103320310312626,53.03718203826324,24.078715923561383,0.2609435373184247
6,stage1,7,semi_global,True,-8.820805978066184,78690.47251056659,0.002486787656784,0.0024867876567841725,1.0731580908130613,1.073692939012737,38.45910093935683,125.13977796539668,24.0,0.30000000000000004,6.104380044049761,52.99864595299449,24.076145378785117,0.2609713975525361
86,polish,7,global,True,-8.82080583349853,78690.47060914048,0.0024919993124126,0.0024919993124126903,1.072225511622333,1.075126061399634,38.42846964448977,125.13977796539668,24.0,0.30000000000000004,6.106912098222841,53.208137988315606,24.074616515706783,0.2609879705905307
32,stage1,33,global,True,-8.82080582694959,78690.47052300557,0.0024920243062147,0.002492024306214603,1.0722251091564747,1.0751265992839074,38.42844574392381,125.13977796539668,24.0,0.30000000000000004,6.106911613975683,53.20815783530098,24.075522896400503,0.2609781450735999
82,polish,3,semi_global,True,-8.820806006277799,78690.47288161985,0.0024996679131908,0.002499667913191471,1.0731186526469083,1.0737735712181191,38.36159668506834,125.13977796539668,24.0,0.30000000000000004,6.103653419564465,53.072731753587206,24.074488481637623,0.2609893585889466
78,stage1,79,semi_global,True,-8.820806005506437,78690.47287147447,0.0024996801028673,0.0024996801028674097,1.073118704183903,1.0737740353342355,38.361592418614336,125.13977796539668,24.0,0.30000000000000004,6.1036555871887295,53.072762004316466,24.0747866955682,0.2609861257186642
14,stage1,15,semi_global,True,-8.820805816340462,78690.47038346902,0.0025011206258601,0.0025011206258601345,1.069751753386684,1.075429457789196,38.31274384423451,125.13977796539668,24.0,0.30000000000000004,6.084644157296619,52.9552365435948,24.07491264268599,0.2609847603782866
38,stage1,39,semi_global,True,-8.820806011061473,78690.47294453709,0.0025026591169644,0.0025026591169645136,1.0726825490777832,1.0735134044103605,38.32157611201607,125.13977796539668,24.0,0.30000000000000004,6.095708057091214,52.947195700891356,24.074869983391654,0.2609852228283733
81,polish,2,semi_global,True,-8.820806011070312,78690.47294465339,0.002502667417739,0.002502667417738933,1.0726903499361957,1.0735116428611449,38.32159183268888,125.13977796539668,24.0,0.30000000000000004,6.0957099894071956,52.94773674258852,24.07514348197701,0.2609822579825232
55,stage1,56,semi_global,True,-8.820806021424747,78690.47308084006,0.0025039564065845,0.0025039564065845684,1.0727878436520617,1.073334459410002,38.3080421117841,125.13977796539668,24.0,0.30000000000000004,6.092788169732051,53.03500731672398,24.07499751521595,0.2609838403185076
80,polish,1,semi_global,True,-8.820806021881022,78690.47308684123,0.002503964488264,0.002503964488264028,1.0727878205903247,1.0733342645672332,38.30804316404511,125.13977796539668,24.0,0.30000000000000004,6.092788577215332,53.03500757007829,24.075228651410416,0.260981334721882
67,stage1,68,semi_global,True,-8.820805719918118,78690.46911527413,0.0025075340351871,0.0025075340351871102,1.07114349067754,1.076274196006668,38.30913202239371,125.13977796539668,24.0,0.30000000000000004,6.106425017050318,53.02237825440383,24.077881670977238,0.260952578513298
83,polish,4,semi_global,True,-8.820806002522726,78690.47283223124,0.0025078138767232,0.002507813876723416,1.0727710711820195,1.0732097621292662,38.2712717231046,125.13977796539668,24.0,0.30000000000000004,6.0891443520373425,52.98774985129056,24.075482690112814,0.2609785809096127
63,stage1,64,semi_global,True,-8.820805993074146,78690.47270795879,0.0025078548987185,0.00250785489871859,1.0727709467508102,1.073209755338687,38.27126270044384,125.13977796539668,24.0,0.30000000000000004,6.089142548008026,52.98771452906018,24.0765169056354,0.2609673704799439
85,polish,6,local,True,-8.820805863570406,78690.47100466085,0.0025205536607459,0.0025205536607459927,1.0718019727541193,1.0745806031905991,38.17919699372188,125.13977796539668,24.0,0.30000000000000004,6.08811546560478,53.12416273474295,24.075467894790123,0.2609787412912234
49,stage1,50,local,True,-8.820805851754344,78690.47084925008,0.0025206176163443,0.0025206176163443043,1.071800825196222,1.0745804836629866,38.17917045705398,125.13977796539668,24.0,0.30000000000000004,6.088113659186481,53.1241838985823,24.076666006783068,0.2609657543702038
3,stage1,4,semi_global,True,-8.813168290926342,78590.0178304598,0.1462642672954795,0.14626426729547942,0.8923067790311615,1.5733306664945086,353.7290007167436,125.13977796539668,24.0,0.30000000000000004,10.039196555482068,66.16120241328669,23.831551084231084,0.2636498684022736
