model,metric,observed,sim_mean,sim_sd,sim_q025,sim_q50,sim_q975,obs_percentile,two_sided_p,inside_95,n_paths
Gaussian CARMA,XtQ_std,3.765669235663171,3.800362162765782,0.12704324962494695,3.53787269899127,3.805119778613448,4.055122476255375,0.404,0.808,True,250
Gaussian CARMA,XtQ_skew,0.07130754394856471,-0.0024867859439873722,0.08540428625877276,-0.1664063146944577,-0.0014043759537875605,0.17256915271184364,0.812,0.3759999999999999,True,250
Gaussian CARMA,XtQ_excess_kurtosis,0.07023530760334262,-0.008478665820844767,0.1398362620512043,-0.23558244080144083,-0.023592942244874182,0.3043335453467396,0.748,0.504,True,250
Gaussian CARMA,XtQ_q01,-8.704574961353945,-8.855418807553917,0.48706061946358736,-9.898531509106968,-8.82747763762734,-8.022539937403689,0.572,0.8560000000000001,True,250
Gaussian CARMA,XtQ_q05,-6.037624350594095,-6.279549195945727,0.35347477929587734,-7.057047990383806,-6.2692387518724075,-5.644451585355381,0.728,0.544,True,250
Gaussian CARMA,XtQ_q95,6.283962454273631,6.229185679059065,0.33842654261560495,5.629843329735695,6.242895813228862,6.895278129306477,0.56,0.8799999999999999,True,250
Gaussian CARMA,XtQ_q99,8.97931464846022,8.818704818022743,0.47913347819627794,8.039962716940726,8.809893186121801,9.812042754607848,0.632,0.736,True,250
Gaussian CARMA,Delta_XtQ_std,0.6187513312955488,0.6098713228742573,0.0035494004053108798,0.6043590596619628,0.6096922517841725,0.6175468158631088,0.984,0.03200000000000003,False,250
Gaussian CARMA,Delta_XtQ_excess_kurtosis,6.893770836940236,0.0008719310755005675,0.029851126034442555,-0.052073340810124824,-0.0006684685490738751,0.06607841018978201,1.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_q01,-1.8477891187496271,-1.4197995049522105,0.014672745311198698,-1.44920016027988,-1.4193977984178772,-1.3960885469095858,0.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_q99,1.514783921304608,1.41849791215705,0.015501232269390127,1.391292236262539,1.4196731543433496,1.4496442237077913,1.0,0.0,False,250
Gaussian CARMA,ACF_XtQ_1h,0.9862658414795831,0.9870420425639582,0.0008685411489784627,0.9851454918461084,0.9871082517016059,0.9886803816310082,0.18,0.36,True,250
Gaussian CARMA,ACF_XtQ_6h,0.859787116782786,0.8628481980346031,0.009386740859558578,0.84352129323856,0.863158726875191,0.8797080721605184,0.336,0.672,True,250
Gaussian CARMA,ACF_XtQ_24h,0.686451111968309,0.6563966640175317,0.020925160919371605,0.6134384229208997,0.6591184008518856,0.6936610469175091,0.936,0.1279999999999999,True,250
Gaussian CARMA,ACF_XtQ_72h,0.3308862724625453,0.2762643943155134,0.0370790673653708,0.20231132849760858,0.277248094954906,0.3479271358330658,0.936,0.1279999999999999,True,250
Gaussian CARMA,ACF_XtQ_168h,0.09216933026815217,0.047479039248253,0.043908977374237164,-0.04184882913434832,0.04889724797000783,0.1280763359365842,0.84,0.32000000000000006,True,250
Gaussian CARMA,ACF_XtQ_336h,-0.04403260516937051,-0.0016950864129839384,0.04460941485443772,-0.0941856888730163,0.0009046833237076435,0.08037435357792105,0.172,0.344,True,250
Gaussian CARMA,ACF_DeltaXtQ_1h,0.3044018165644621,0.31107403125264055,0.007561958303183453,0.29403073594225404,0.3106688190352269,0.32674883178295194,0.152,0.304,True,250
Gaussian CARMA,ACF_DeltaXtQ_6h,-0.05763473014934418,-0.033558997021037776,0.005885129853431315,-0.045800788919642024,-0.0333967629230146,-0.021995752796239398,0.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_24h,0.19443755935280618,0.0775176562710336,0.009176812681363777,0.061480121465807364,0.0773739389589913,0.09612896855362824,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_72h,0.13406504291679627,0.05028449003223991,0.009419805925884607,0.02813927007950085,0.050203968571973116,0.06889539316300664,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_168h,0.10455548925643585,0.021245277218928122,0.008056126944189093,0.006829912686616153,0.02101232302855967,0.036740211439470954,1.0,0.0,False,250
Gaussian CARMA,ACF_DeltaXtQ_336h,0.1009881960510628,0.003751326036233947,0.008209439289753274,-0.012726856338905286,0.0040462132417149205,0.019897844339844536,1.0,0.0,False,250
NIG CARMA,XtQ_std,3.765669235663171,3.733014032584285,0.11696971234290253,3.490220152235529,3.736627083478627,3.945170536990439,0.568,0.8640000000000001,True,250
NIG CARMA,XtQ_skew,0.07130754394856471,-0.05652427040565221,0.08972653431326233,-0.23753989368696543,-0.04986788526896902,0.11320061297412361,0.94,0.1200000000000001,True,250
NIG CARMA,XtQ_excess_kurtosis,0.07023530760334262,0.09142309697605205,0.16899852005505112,-0.19085673106561069,0.07554655707717273,0.46240281503946623,0.48,0.96,True,250
NIG CARMA,XtQ_q01,-8.704574961353945,-8.940224660563072,0.5313650407048042,-9.959331427920802,-8.948641090021159,-8.009210711784169,0.64,0.72,True,250
NIG CARMA,XtQ_q05,-6.037624350594095,-6.219985382268098,0.3469522616879361,-6.871551008945937,-6.220485253597605,-5.598504332616406,0.716,0.5680000000000001,True,250
NIG CARMA,XtQ_q95,6.283962454273631,6.047951950563647,0.3234770569249342,5.457773013470905,6.04971947060089,6.654740814075857,0.728,0.544,True,250
NIG CARMA,XtQ_q99,8.97931464846022,8.591759565678938,0.47620933955494993,7.684365757720118,8.597828700655313,9.5392920577693,0.824,0.3520000000000001,True,250
NIG CARMA,Delta_XtQ_std,0.6187513312955488,0.5997046984647537,0.005116124443062248,0.590349669697117,0.5998083988577532,0.609524654761142,1.0,0.0,False,250
NIG CARMA,Delta_XtQ_excess_kurtosis,6.893770836940236,3.9667599680045424,0.47585330863725284,3.228905138038839,3.9054041100393526,4.9618267099864415,1.0,0.0,False,250
NIG CARMA,Delta_XtQ_q01,-1.8477891187496271,-1.7360515538862455,0.03043100876345964,-1.7965928340552866,-1.7327925461266633,-1.6772331820693547,0.0,0.0,False,250
NIG CARMA,Delta_XtQ_q99,1.514783921304608,1.5186188825201903,0.025487163342534314,1.4729009214244773,1.519228942112528,1.5712115207229487,0.432,0.864,True,250
NIG CARMA,ACF_XtQ_1h,0.9862658414795831,0.9870214399773652,0.0008061907225041438,0.9852152258888786,0.9871483869153387,0.9884339096090582,0.168,0.336,True,250
NIG CARMA,ACF_XtQ_6h,0.859787116782786,0.863511116772939,0.008772306844570622,0.8443028127540757,0.864184265123316,0.878614176107183,0.312,0.624,True,250
NIG CARMA,ACF_XtQ_24h,0.686451111968309,0.6581604900432637,0.01886188628303358,0.6174540366136478,0.6594777184790293,0.6928143133578887,0.944,0.1120000000000001,True,250
NIG CARMA,ACF_XtQ_72h,0.3308862724625453,0.2809974521196316,0.036481245049753426,0.21153039959326886,0.2821379876262492,0.3459106234673749,0.9,0.19999999999999996,True,250
NIG CARMA,ACF_XtQ_168h,0.09216933026815217,0.05008729816797775,0.04208036166898645,-0.026744917272195416,0.04920264290999899,0.13823499529897926,0.84,0.32000000000000006,True,250
NIG CARMA,ACF_XtQ_336h,-0.04403260516937051,-0.0006115070510489319,0.044195935739331685,-0.08655311337907647,-0.00011107388442942097,0.07736469311588232,0.176,0.352,True,250
NIG CARMA,ACF_DeltaXtQ_1h,0.3044018165644621,0.3052384510554247,0.007621280281144997,0.28932946519214586,0.3047808386573269,0.32116026047335544,0.476,0.952,True,250
NIG CARMA,ACF_DeltaXtQ_6h,-0.05763473014934418,-0.03202196489747085,0.005827545514695241,-0.04440710866221802,-0.032291252443341606,-0.0207829424921624,0.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_24h,0.19443755935280618,0.07723708637222348,0.008835203988525346,0.05980872853027931,0.07788055517859326,0.0956494734129133,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_72h,0.13406504291679627,0.050473576061759055,0.009127056435614957,0.032369303552130434,0.05100827577582391,0.06674946403343,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_168h,0.10455548925643585,0.021805570836489062,0.008719059701813628,0.006338841799868991,0.0219931466383814,0.03825615111112082,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_336h,0.1009881960510628,0.004084892609852689,0.008339372541211323,-0.013035942017946134,0.0039104046688046255,0.019853205907496504,1.0,0.0,False,250
